"id","weight","height"
1300,56,193
1301,95,147
1302,60,212
1303,70,129
1304,78,209
1305,74,225
1306,105,155
1307,77,215
1308,82,141
1309,26,188
1310,60,176
1311,69,144
1312,72,153
1313,67,155
1314,78,178
1315,32,174
1316,85,209
1317,75,172
1318,69,176
1319,68,236
1320,79,204
1321,98,189
1322,77,190
1323,99,168
1324,69,250
1325,83,170
1326,68,188
1327,77,153
1328,62,171
1329,91,124
1330,76,220
1331,89,142
1332,70,158
1333,80,168
1334,65,119
1335,63,182
1336,95,184
1337,81,174
1338,59,154
1339,73,159
1340,75,195
1341,45,139
1342,63,174
1343,43,193
1344,71,158
1345,61,230
1346,50,216
1347,65,161
1348,91,149
1349,53,234
1350,90,186
1351,81,162
1352,73,164
1353,79,97
1354,70,175
1355,68,206
1356,76,178
1357,94,172
1358,58,211
1359,62,180
1360,67,183
1361,68,136
1362,53,158
1363,45,149
1364,64,170
1365,72,197
1366,83,192
1367,80,179
1368,67,196
1369,69,146
1370,56,151
1371,87,158
1372,47,216
1373,83,207
1374,63,139
1375,68,172
1376,50,164
1377,93,209
1378,73,158
1379,58,201
1380,55,147
1381,69,169
1382,65,132
1383,72,144
1384,67,178
1385,59,156
1386,54,162
1387,84,180
1388,66,156
1389,58,153
1390,50,96
1391,75,186
1392,87,173
1393,81,184
1394,77,155
1395,72,146
1396,82,185
1397,66,165
1398,64,75
1399,56,193
1400,72,193
1401,78,149
1402,70,198
1403,80,124
1404,83,211
1405,62,184
1406,64,187
1407,63,158
1408,78,150
1409,63,165
1410,82,230
1411,76,231
1412,57,207
1413,58,228
1414,98,191
1415,50,168
1416,76,191
1417,71,195
1418,78,131
1419,102,173
1420,65,174
1421,56,147
1422,81,145
1423,36,176
1424,65,147
1425,72,160
1426,67,117
1427,85,91
1428,68,154
1429,80,176
1430,67,180
1431,34,143
1432,88,160
1433,53,125
1434,81,174
1435,92,165
1436,62,193
1437,83,153
1438,53,228
1439,49,180
1440,68,196
1441,64,176
1442,71,162
1443,67,203
1444,92,180
1445,78,184
1446,85,183
1447,69,214
1448,85,173
1449,44,123
1450,65,229
1451,76,180
1452,64,140
1453,68,201
1454,72,182
1455,50,161
1456,84,178
1457,83,244
1458,40,167
1459,104,185
1460,71,209
1461,72,121
1462,59,148
1463,63,148
1464,45,155
1465,82,188
1466,102,260
1467,66,208
1468,86,183
1469,51,165
1470,92,192
1471,53,178
1472,52,206
1473,52,187
1474,84,232
1475,69,170
1476,66,144
1477,74,181
1478,91,191
1479,76,167
1480,67,253
1481,63,144
1482,71,193
1483,80,166
1484,61,189
1485,75,210
1486,78,198
1487,80,200
1488,74,227
1489,74,224
1490,73,196
1491,83,247
1492,90,134
1493,43,174
1494,89,149
1495,81,105
1496,57,224
1497,57,178
1498,47,155
1499,55,119
1500,94,181
1501,63,161
1502,62,155
1503,80,147
1504,96,163
1505,74,108
1506,70,212
1507,86,189
1508,90,196
1509,61,159
1510,95,130
1511,75,158
1512,61,144
1513,73,166
1514,79,190
1515,72,193
1516,72,180
1517,64,174
1518,70,139
1519,58,158
1520,42,109
1521,57,236
1522,93,182
1523,66,180
1524,80,217
1525,72,230
1526,72,158
1527,36,143
1528,64,159
1529,78,202
1530,89,187
1531,63,201
1532,91,247
1533,60,257
1534,76,187
1535,73,146
1536,99,147
1537,85,154
1538,96,136
1539,72,194
1540,74,169
1541,74,183
1542,71,64
1543,81,195
1544,93,187
1545,61,174
1546,65,193
1547,68,224
1548,98,182
1549,96,224
1550,92,115
1551,88,142
1552,81,150
1553,80,245
1554,72,197
1555,87,134
1556,84,188
1557,66,150
1558,88,190
1559,82,238
1560,80,186
1561,61,226
1562,82,189
1563,21,110
1564,71,140
1565,82,186
1566,47,156
1567,43,204
1568,23,146
1569,46,197
1570,67,138
1571,64,180
1572,89,151
1573,70,261
1574,56,160
1575,68,171
1576,78,211
1577,70,211
1578,91,121
1579,84,159
1580,63,177
1581,63,148
1582,68,206
1583,66,168
1584,48,170
1585,83,183
1586,61,131
1587,64,206
1588,87,205
1589,51,215
1590,68,192
1591,86,130
1592,80,220
1593,75,105
1594,64,162
1595,99,233
1596,94,137
1597,75,228
1598,47,148
1599,58,236
1600,85,155
1601,71,154
1602,61,196
1603,68,215
1604,59,215
1605,72,144
1606,85,166
1607,61,162
1608,66,114
1609,68,200
1610,54,137
1611,65,170
1612,76,230
1613,90,197
1614,65,148
1615,60,179
1616,53,146
1617,61,161
1618,87,212
1619,65,210
1620,92,161
1621,55,202
1622,91,171
1623,86,159
1624,68,183
1625,71,152
1626,61,225
1627,52,198
1628,68,195
1629,65,209
1630,35,230
1631,82,138
1632,51,167
1633,70,184
1634,75,154
1635,83,158
1636,103,190
1637,62,178
1638,63,156
1639,59,160
1640,85,159
1641,68,187
1642,75,254
1643,72,110
1644,59,248
1645,86,187
1646,61,158
1647,70,122
1648,68,175
1649,66,185
1650,69,205
1651,67,205
1652,68,138
1653,91,194
1654,44,212
1655,80,164
1656,78,225
1657,47,180
1658,73,230
1659,58,160
1660,79,181
1661,71,167
1662,58,182
1663,41,166
1664,69,233
1665,63,198
1666,86,124
1667,55,135
1668,65,143
1669,96,219
1670,44,228
1671,67,114
1672,58,111
1673,65,208
1674,73,130
1675,60,167
1676,86,160
1677,92,147
1678,75,155
1679,59,168
1680,65,190
1681,75,153
1682,45,142
1683,52,169
1684,72,150
1685,68,159
1686,59,179
1687,78,179
1688,82,168
1689,64,156
1690,61,140
1691,73,188
1692,60,177
1693,58,211
1694,54,107
1695,73,165
1696,69,135
1697,78,212
1698,99,203
1699,81,152
1700,59,143
1701,59,243
1702,75,182
1703,43,132
1704,91,222
1705,76,142
1706,66,176
1707,78,200
1708,60,197
1709,63,199
1710,64,139
1711,64,174
1712,61,175
1713,88,211
1714,51,161
1715,81,202
1716,84,209
1717,65,196
1718,68,144
1719,78,132
1720,50,211
1721,76,138
1722,75,142
1723,62,162
1724,50,153
1725,81,211
1726,77,181
1727,49,114
1728,55,204
1729,77,199
1730,101,209
1731,69,143
1732,85,133
1733,79,205
1734,64,156
1735,80,229
1736,71,158
1737,44,182
1738,68,130
1739,50,190
1740,70,164
1741,83,197
1742,72,189
1743,50,181
1744,40,159
1745,81,176
1746,72,167
1747,70,189
1748,69,201
1749,58,195
1750,68,155
1751,66,196
1752,65,124
1753,68,173
1754,79,200
1755,57,188
1756,62,173
1757,72,194
1758,65,148
1759,57,140
1760,60,159
1761,60,192
1762,58,121
1763,63,172
1764,74,176
1765,86,106
1766,52,155
1767,112,205
1768,61,239
1769,49,136
1770,85,138
1771,52,138
1772,70,191
1773,61,192
1774,98,145
1775,83,136
1776,74,174
1777,61,132
1778,79,189
1779,64,174
1780,96,172
1781,68,221
1782,78,136
1783,78,182
1784,71,207
1785,72,131
1786,71,196
1787,64,143
1788,70,208
1789,73,243
1790,78,169
1791,75,198
1792,88,159
1793,66,202
1794,99,156
1795,53,212
1796,74,208
1797,81,211
1798,60,139
1799,48,230
1800,49,191
1801,61,154
1802,98,169
1803,69,250
1804,77,171
1805,95,152
1806,82,236
1807,91,154
1808,72,136
1809,46,192
1810,63,166
1811,83,139
1812,79,157
1813,69,138
1814,71,168
1815,53,224
1816,63,155
1817,41,182
1818,100,162
1819,72,143
1820,68,238
1821,91,143
1822,69,158
1823,66,172
1824,68,191
1825,51,175
1826,45,182
1827,47,135
1828,66,203
1829,46,229
1830,95,113
1831,85,176
1832,73,176
1833,86,193
1834,68,194
1835,51,206
1836,93,154
1837,70,177
1838,78,154
1839,61,178
1840,87,92
1841,66,150
1842,72,199
1843,52,207
1844,77,181
1845,38,230
1846,71,174
1847,56,214
1848,84,177
1849,88,206
1850,62,161
1851,90,152
1852,68,205
1853,85,177
1854,93,160
1855,85,205
1856,30,122
1857,60,136
1858,76,164
1859,86,197
1860,64,234
1861,93,262
1862,74,134
1863,66,135
1864,67,112
1865,77,201
1866,99,195
1867,64,122
1868,66,160
1869,59,189
1870,94,172
1871,81,207
1872,63,179
1873,75,208
1874,93,206
1875,64,210
1876,82,142
1877,99,145
1878,77,260
1879,91,207
1880,70,199
1881,63,168
1882,87,252
1883,60,143
1884,72,177
1885,71,179
1886,88,172
1887,53,187
1888,76,167
1889,70,208
1890,49,208
1891,70,130
1892,89,174
1893,76,228
1894,85,162
1895,71,197
1896,70,165
1897,78,175
1898,66,111
1899,68,169
1900,66,163
1901,78,150
1902,73,152
1903,77,232
1904,71,216
1905,70,195
1906,92,154
1907,84,185
1908,92,186
1909,84,164
1910,73,164
1911,96,182
1912,79,176
1913,83,167
1914,72,166
1915,58,139
1916,91,172
1917,58,144
1918,51,210
1919,82,207
1920,72,147
1921,52,191
1922,90,156
1923,60,166
1924,72,149
1925,77,213
1926,85,139
1927,37,161
1928,47,125
1929,94,207
1930,63,118
1931,66,178
1932,74,158
1933,79,140
1934,73,166
1935,74,219
1936,59,142
1937,78,135
1938,63,141
1939,60,160
1940,67,177
1941,65,146
1942,43,138
1943,71,114
1944,73,202
1945,80,181
1946,74,203
1947,61,209
1948,29,186
1949,43,174
1950,69,202
1951,49,143
1952,80,202
1953,78,169
1954,59,191
1955,78,162
1956,60,160
1957,65,182
1958,47,147
1959,77,187
1960,76,161
1961,68,150
1962,62,191
1963,58,203
1964,56,213
1965,72,203
1966,55,179
1967,55,143
1968,78,180
1969,75,178
1970,77,188
1971,50,194
1972,77,167
1973,71,171
1974,66,164
1975,73,241
1976,70,193
1977,33,225
1978,75,193
1979,58,166
1980,68,142
1981,79,220
1982,67,173
1983,79,179
1984,77,204
1985,44,156
1986,66,196
1987,59,156
1988,63,174
1989,50,168
1990,50,198
1991,46,235
1992,66,190
1993,66,255
1994,78,222
1995,60,191
1996,50,139
1997,82,184
1998,59,137
1999,73,188
2000,54,199
2001,76,190
2002,82,187
2003,80,229
2004,47,156
2005,84,154
2006,64,155
2007,90,162
2008,68,147
2009,79,144
2010,69,139
2011,96,182
2012,75,177
2013,90,184
2014,47,204
2015,78,180
2016,44,187
2017,61,200
2018,77,186
2019,94,159
2020,38,129
2021,54,181
2022,56,176
2023,99,174
2024,57,160
2025,56,197
2026,56,193
2027,77,146
2028,60,180
2029,55,202
2030,70,186
2031,97,162
2032,43,241
2033,63,156
2034,81,193
2035,75,115
2036,79,175
2037,87,230
2038,67,212
2039,87,165
2040,88,159
2041,47,167
2042,56,192
2043,69,133
2044,83,141
2045,78,117
2046,78,239
2047,55,163
2048,70,148
2049,85,154
2050,71,133
2051,71,232
2052,94,187
2053,64,178
2054,69,129
2055,88,198
2056,78,162
2057,93,181
2058,63,167
2059,77,167
2060,71,121
2061,96,207
2062,63,165
2063,69,236
2064,64,180
2065,93,145
2066,64,226
2067,60,201
2068,81,155
2069,61,150
2070,85,163
2071,97,162
2072,67,177
2073,74,137
2074,105,177
2075,66,170
2076,77,161
2077,76,155
2078,69,163
2079,81,151
2080,68,212
2081,75,222
2082,51,181
2083,72,160
2084,68,182
2085,72,123
2086,77,160
2087,48,234
2088,70,224
2089,83,152
2090,56,217
2091,50,115
2092,73,160
2093,69,136
2094,76,194
2095,79,175
2096,55,172
2097,75,183
2098,84,165
2099,80,184
2100,57,140
2101,52,126
2102,69,156
2103,77,148
2104,79,142
2105,87,172
2106,66,151
2107,64,188
2108,61,180
2109,75,213
2110,84,178
2111,39,134
2112,60,172
2113,69,162
2114,62,112
2115,72,201
2116,62,200
2117,61,153
2118,65,195
2119,69,135
2120,92,159
2121,50,104
2122,72,185
2123,62,176
2124,54,125
2125,74,161
2126,67,200
2127,96,203
2128,86,140
2129,79,184
2130,53,190
2131,56,112
2132,71,187
2133,87,169
2134,79,194
2135,86,275
2136,51,210
2137,63,221
2138,85,175
2139,43,188
2140,33,155
2141,66,142
2142,76,192
2143,72,171
2144,60,166
2145,100,79
2146,75,157
2147,66,188
2148,93,179
2149,62,198
2150,64,155
2151,57,175
2152,84,211
2153,79,169
2154,86,142
2155,70,237
2156,71,178
2157,88,131
2158,61,187
2159,62,162
2160,69,265
2161,75,165
2162,76,180
2163,83,165
2164,54,207
2165,75,127
2166,44,183
2167,56,185
2168,79,153
2169,65,195
2170,60,187
2171,58,164
2172,79,166
2173,54,201
2174,61,187
2175,64,108
2176,41,224
2177,67,144
2178,65,237
2179,49,183
2180,92,188
2181,63,156
2182,86,238
2183,81,195
2184,83,203
2185,54,144
2186,92,221
2187,58,180
2188,66,157
2189,84,165
2190,62,231
2191,74,182
2192,54,226
2193,90,237
2194,62,173
2195,99,141
2196,68,152
2197,84,195
2198,73,192
2199,65,182
2200,100,215
2201,91,145
2202,77,195
2203,74,194
2204,63,163
2205,52,174
2206,79,238
2207,80,173
2208,63,126
2209,71,258
2210,42,136
2211,65,166
2212,62,178
2213,62,212
2214,79,146
2215,64,169
2216,99,185
2217,54,190
2218,63,195
2219,64,123
2220,58,230
2221,53,159
2222,43,149
2223,72,148
2224,76,118
2225,84,146
2226,54,181
2227,61,158
2228,57,210
2229,78,117
2230,105,202
2231,71,147
2232,62,205
2233,70,147
2234,75,112
2235,76,172
2236,76,221
2237,56,181
2238,76,126
2239,51,207
2240,59,197
2241,75,175
2242,59,185
2243,60,187
2244,64,136
2245,67,211
2246,70,114
2247,55,201
2248,92,178
2249,56,168
2250,73,154
2251,64,159
2252,89,101
2253,77,174
2254,73,223
2255,68,216
2256,83,122
2257,64,183
2258,54,237
2259,77,139
2260,57,192
2261,73,166
2262,81,173
2263,88,160
2264,76,214
2265,83,226
2266,50,176
2267,69,187
2268,73,192
2269,85,94
2270,91,200
2271,59,191
2272,57,155
2273,60,179
2274,80,213
2275,71,237
2276,72,203
2277,69,256
2278,67,202
2279,65,216
2280,56,232
2281,86,210
2282,83,211
2283,88,169
2284,55,146
2285,88,165
2286,61,139
2287,50,208
2288,55,137
2289,100,127
2290,87,152
2291,70,188
2292,48,256
2293,79,105
2294,81,184
2295,79,141
2296,94,140
2297,62,169
2298,83,168
2299,52,203
2300,61,179
2301,57,185
2302,105,164
2303,66,104
2304,52,194
2305,40,130
2306,52,220
2307,62,122
2308,62,132
2309,81,188
2310,67,194
2311,69,211
2312,59,226
2313,68,176
2314,37,175
2315,77,188
2316,49,206
2317,50,188
2318,85,168
2319,71,219
2320,46,156
2321,100,103
2322,71,133
2323,66,184
2324,67,201
2325,82,195
2326,88,171
2327,64,208
2328,68,198
2329,49,160
2330,82,197
2331,72,239
2332,76,228
2333,94,139
2334,97,138
2335,65,133
2336,69,204
2337,58,195
2338,59,155
2339,57,263
2340,70,224
2341,61,171
2342,71,147
2343,72,226
2344,91,241
2345,103,191
2346,91,201
2347,53,138
2348,97,112
2349,64,172
2350,64,178
2351,81,209
2352,47,137
2353,68,206
2354,58,148
2355,70,164
2356,84,163
2357,78,172
2358,52,161
2359,115,141
2360,49,206
2361,73,211
2362,79,207
2363,79,216
2364,84,185
2365,68,140
2366,57,180
2367,66,126
2368,41,163
2369,77,102
2370,67,132
2371,63,141
2372,61,107
2373,53,167
2374,67,141
2375,54,154
2376,64,224
2377,73,180
2378,94,193
2379,51,86
2380,65,170
2381,93,158
2382,91,119
2383,62,205
2384,105,139
2385,51,170
2386,87,177
2387,57,148
2388,60,135
2389,48,186
2390,57,190
2391,73,152
2392,75,196
2393,56,104
2394,48,103
2395,80,204
2396,79,174
2397,68,170
2398,69,150
2399,79,133
2400,80,193
2401,63,161
2402,58,181
2403,74,177
2404,68,191
2405,71,206
2406,77,214
2407,69,125
2408,90,188
2409,52,157
2410,58,189
2411,59,172
2412,80,167
2413,41,128
2414,74,171
2415,62,214
2416,77,84
2417,76,230
2418,76,164
2419,42,133
2420,64,174
2421,71,187
2422,73,145
2423,89,153
2424,89,189
2425,57,235
2426,73,197
2427,47,110
2428,72,152
2429,81,178
2430,94,169
2431,74,187
2432,64,145
2433,85,193
2434,64,168
2435,51,215
2436,87,179
2437,64,225
2438,68,211
2439,76,163
2440,75,148
2441,71,258
2442,64,199
2443,54,152
2444,46,148
2445,74,177
2446,41,125
2447,73,150
2448,60,154
2449,64,186
2450,77,163
2451,80,164
2452,84,118
2453,73,186
2454,81,127
2455,61,181
2456,89,153
2457,64,215
2458,83,160
2459,80,161
2460,63,199
2461,59,209
2462,49,222
2463,74,154
2464,93,168
2465,82,153
2466,79,134
2467,82,115
2468,75,175
2469,66,189
2470,61,218
2471,84,179
2472,56,187
2473,84,185
2474,80,168
2475,76,198
2476,61,196
2477,85,199
2478,86,164
2479,57,199
2480,56,146
2481,96,228
2482,48,233
2483,62,202
2484,75,236
2485,75,207
2486,56,174
2487,82,186
2488,69,156
2489,84,148
2490,80,178
2491,33,165
2492,57,141
2493,59,170
2494,78,122
2495,80,161
2496,78,159
2497,56,210
2498,74,206
2499,62,119
2500,45,139
2501,68,165
2502,85,182
2503,75,172
2504,99,203
2505,62,77
2506,71,126
2507,62,192
2508,81,102
2509,76,196
2510,63,169
2511,80,146
2512,59,199
2513,79,121
2514,99,155
2515,53,188
2516,112,150
2517,109,118
2518,46,139
2519,84,110
2520,64,150
2521,58,159
2522,74,154
2523,60,166
2524,77,266
2525,82,193
2526,64,185
2527,66,176
2528,62,189
2529,101,226
2530,75,135
2531,71,190
2532,71,151
2533,69,258
2534,87,142
2535,56,136
2536,79,108
2537,85,146
2538,83,176
2539,74,239
2540,81,137
2541,82,171
2542,92,244
2543,96,179
2544,105,173
2545,72,182
2546,74,261
2547,61,194
2548,72,224
2549,89,181
2550,64,144
2551,71,132
2552,31,160
2553,64,195
2554,53,148
2555,59,133
2556,41,195
2557,57,161
2558,78,185
2559,76,140
2560,62,161
2561,88,193
2562,92,154
2563,74,179
2564,79,249
2565,71,237
2566,70,145
2567,50,156
2568,45,229
2569,84,134
2570,68,164
2571,97,119
2572,47,184
2573,68,221
2574,77,203
2575,57,215
2576,53,159
2577,72,178
2578,79,226
2579,86,154
2580,81,111
2581,70,179
2582,63,222
2583,75,166
2584,79,140
2585,68,217
2586,59,169
2587,85,166
2588,36,162
2589,62,184
2590,49,201
2591,58,154
2592,40,122
2593,75,113
2594,81,202
2595,50,173
2596,64,158
2597,43,135
2598,54,163
2599,56,146
2600,84,148
2601,57,134
2602,73,170
2603,64,221
2604,54,230
2605,85,150
2606,44,182
2607,57,101
2608,58,181
2609,80,121
2610,56,183
2611,62,224
2612,63,194
2613,72,181
2614,86,167
2615,70,186
2616,60,151
2617,63,164
2618,63,208
2619,67,163
2620,60,172
2621,78,109
2622,39,173
2623,62,178
2624,67,176
2625,64,129
2626,72,217
2627,79,209
2628,87,212
2629,76,185
2630,63,194
2631,83,136
2632,53,160
2633,96,128
2634,71,200
2635,89,191
2636,71,153
2637,59,202
2638,56,192
2639,70,197
2640,51,163
2641,63,153
2642,78,191
2643,61,196
2644,60,165
2645,68,128
2646,55,175
2647,66,183
2648,47,98
2649,67,149
2650,75,138
2651,90,156
2652,75,132
2653,87,92
2654,67,208
2655,76,180
2656,55,147
2657,92,178
2658,50,220
2659,56,176
2660,74,189
2661,80,186
2662,73,144
2663,60,132
2664,56,157
2665,73,135
2666,78,188
2667,77,194
2668,44,135
2669,78,167
2670,71,179
2671,66,156
2672,61,230
2673,94,153
2674,57,110
2675,73,179
2676,54,144
2677,66,167
2678,64,140
2679,88,169
2680,86,195
2681,62,162
2682,63,129
2683,60,198
2684,57,164
2685,53,223
2686,69,210
2687,89,109
2688,57,200
2689,62,222
2690,64,222
2691,63,237
2692,70,138
2693,71,212
2694,70,183
2695,86,212
2696,73,188
2697,88,200
2698,87,128
2699,60,175
2700,83,182
2701,85,166
2702,75,129
2703,67,134
2704,79,188
2705,50,149
2706,104,230
2707,81,126
2708,60,194
2709,69,164
2710,63,137
2711,65,191
2712,71,148
2713,82,179
2714,73,188
2715,99,160
2716,61,142
2717,45,182
2718,68,132
2719,50,178
2720,41,141
2721,65,122
2722,84,204
2723,75,192
2724,75,145
2725,89,116
2726,66,233
2727,78,180
2728,67,137
2729,61,131
2730,79,115
2731,96,182
2732,61,142
2733,71,119
2734,62,149
2735,51,142
2736,72,211
2737,79,110
2738,61,150
2739,81,179
2740,78,131
2741,66,185
2742,59,195
2743,73,208
2744,70,195
2745,70,154
2746,64,211
2747,50,153
2748,71,154
2749,70,201
2750,62,176
2751,62,137
2752,78,168
2753,72,155
2754,90,191
2755,57,248
2756,67,154
2757,56,172
2758,62,208
2759,48,184
2760,76,152
2761,82,183
2762,74,131
2763,59,193
2764,72,176
2765,58,200
2766,99,182
2767,79,191
2768,70,157
2769,54,198
2770,62,219
2771,62,185
2772,66,178
2773,74,231
2774,64,169
2775,77,216
2776,69,175
2777,88,161
2778,70,169
2779,81,182
2780,96,176
2781,59,197
2782,74,162
2783,99,163
2784,87,171
2785,88,167
2786,87,162
2787,55,206
2788,70,153
2789,80,220
2790,52,159
2791,70,132
2792,63,167
2793,83,193
2794,61,140
2795,98,184
2796,99,200
2797,34,185
2798,85,213
2799,51,143
2800,82,175
2801,65,148
2802,55,163
2803,96,205
2804,50,211
2805,81,190
2806,68,207
2807,61,158
2808,62,187
2809,62,170
2810,75,197
2811,72,193
2812,62,206
2813,44,161
2814,69,212
2815,81,219
2816,77,197
2817,53,119
2818,66,204
2819,75,138
2820,48,173
2821,74,126
2822,66,141
2823,59,193
2824,45,163
2825,78,202
2826,84,126
2827,85,159
2828,69,175
2829,66,224
2830,60,185
2831,45,217
2832,81,166
2833,72,146
2834,75,194
2835,96,270
2836,71,228
2837,85,192
2838,65,204
2839,67,183
2840,82,160
2841,66,174
2842,51,162
2843,70,174
2844,92,243
2845,32,208
2846,90,124
2847,71,195
2848,60,198
2849,44,194
2850,90,132
2851,61,169
2852,68,150
2853,65,191
2854,75,102
2855,77,161
2856,75,223
2857,72,182
2858,67,164
2859,73,229
2860,84,188
2861,67,201
2862,74,177
2863,88,264
2864,80,154
2865,53,184
2866,65,161
2867,75,163
2868,74,80
2869,81,175
2870,57,201
2871,59,209
2872,87,163
2873,57,133
2874,74,179
2875,55,203
2876,70,171
2877,70,183
2878,74,134
2879,58,207
2880,63,146
2881,70,201
2882,66,195
2883,87,130
2884,53,194
2885,61,157
2886,61,159
2887,82,102
2888,68,181
2889,78,189
2890,95,72
2891,67,175
2892,76,225
2893,59,182
2894,64,110
2895,71,176
2896,93,241
2897,61,205
2898,83,167
2899,106,144
2900,51,173
2901,49,125
2902,81,118
2903,52,201
2904,92,222
2905,82,154
2906,92,171
2907,58,179
2908,66,190
2909,61,215
2910,62,184
2911,66,190
2912,63,172
2913,59,168
2914,69,182
2915,77,147
2916,98,160
2917,67,154
2918,85,151
2919,56,130
2920,80,176
2921,48,164
2922,88,152
2923,60,114
2924,56,148
2925,71,146
2926,60,94
2927,48,182
2928,65,126
2929,67,179
2930,61,217
2931,60,157
2932,74,184
2933,64,128
2934,59,158
2935,65,204
2936,76,180
2937,79,248
2938,43,161
2939,80,157
2940,68,70
2941,65,181
2942,52,136
2943,56,174
2944,88,140
2945,93,189
2946,83,169
2947,74,179
2948,95,205
2949,54,200
2950,81,197
2951,36,162
2952,51,123
2953,41,228
2954,84,155
2955,64,232
2956,75,173
2957,64,143
2958,81,201
2959,72,170
2960,81,196
2961,79,227
2962,62,156
2963,42,137
2964,66,154
2965,85,151
2966,73,166
2967,83,170
2968,78,187
2969,58,161
2970,64,151
2971,63,182
2972,69,201
2973,78,175
2974,32,176
2975,101,174
2976,90,162
2977,68,234
2978,46,170
2979,80,147
2980,68,187
2981,80,132
2982,64,210
2983,53,211
2984,58,241
2985,47,246
2986,75,152
2987,95,224
2988,29,159
2989,76,181
2990,69,176
2991,75,212
2992,61,192
2993,71,177
2994,57,216
2995,86,183
2996,81,181
