"id","weight","height","gender"
1419,72,164,"Male"
1420,52,229,"Female"
1421,56,124,"Male"
1422,52,173,"Male"
1423,60,170,"Female"
1424,60,204,"Male"
1425,66,188,"Male"
1426,66,170,"Male"
1427,83,175,"Female"
1428,99,186,"Male"
1429,82,151,"Male"
1430,43,183,"Male"
1431,60,208,"Male"
1432,77,163,"Male"
1433,67,183,"Female"
1434,50,149,"Female"
1435,85,202,"Female"
1436,64,160,"Male"
1437,52,158,"Female"
1438,47,143,"Female"
1439,75,200,"Female"
1440,85,102,"Male"
1441,63,134,"Female"
1442,40,225,"Female"
1443,76,224,"Female"
1444,52,168,"Male"
1445,79,205,"Male"
1446,67,187,"Male"
1447,69,141,"Female"
1448,60,216,"Female"
1449,54,134,"Female"
1450,74,204,"Male"
1451,38,111,"Male"
1452,55,193,"Female"
1453,64,159,"Male"
1454,94,172,"Female"
1455,84,143,"Male"
1456,80,173,"Male"
1457,78,172,"Male"
1458,68,241,"Male"
1459,76,169,"Female"
1460,50,223,"Male"
1461,64,205,"Female"
1462,71,205,"Male"
1463,60,265,"Female"
1464,44,174,"Female"
1465,82,163,"Male"
1466,59,134,"Female"
1467,73,205,"Female"
1468,95,106,"Female"
1469,75,161,"Male"
1470,73,183,"Male"
1471,69,151,"Female"
1472,77,141,"Male"
1473,51,189,"Female"
1474,54,142,"Female"
1475,69,130,"Male"
1476,64,187,"Female"
1477,63,151,"Male"
1478,61,155,"Male"
1479,42,120,"Female"
1480,76,174,"Female"
1481,64,196,"Male"
1482,51,212,"Male"
1483,85,149,"Male"
1484,69,173,"Female"
1485,55,209,"Male"
1486,57,181,"Male"
1487,71,176,"Male"
1488,77,189,"Male"
1489,90,140,"Female"
1490,89,164,"Male"
1491,82,133,"Female"
1492,65,170,"Female"
1493,73,190,"Female"
1494,86,231,"Female"
1495,78,172,"Female"
1496,47,156,"Male"
1497,57,145,"Female"
1498,67,154,"Male"
1499,75,163,"Male"
1500,53,123,"Female"
1501,59,103,"Male"
1502,56,143,"Male"
1503,71,118,"Male"
1504,66,201,"Male"
1505,79,143,"Male"
1506,81,223,"Female"
1507,78,106,"Female"
1508,78,172,"Female"
1509,60,143,"Female"
1510,61,180,"Male"
1511,40,197,"Female"
1512,100,117,"Female"
1513,95,232,"Female"
1514,82,160,"Male"
1515,50,175,"Male"
1516,108,153,"Female"
1517,72,201,"Male"
1518,68,229,"Female"
1519,46,197,"Female"
1520,83,240,"Female"
1521,86,145,"Male"
1522,71,205,"Male"
1523,81,185,"Male"
1524,83,197,"Male"
1525,59,199,"Male"
1526,56,190,"Male"
1527,83,150,"Male"
1528,60,206,"Male"
1529,63,142,"Female"
1530,60,229,"Male"
1531,72,188,"Male"
1532,86,162,"Female"
1533,63,149,"Female"
1534,62,129,"Male"
1535,70,202,"Male"
1536,81,130,"Female"
1537,76,206,"Male"
1538,50,129,"Female"
1539,58,171,"Male"
1540,60,162,"Female"
1541,41,170,"Female"
1542,73,182,"Female"
1543,60,214,"Male"
1544,50,193,"Female"
1545,85,169,"Female"
1546,80,183,"Female"
1547,69,167,"Female"
1548,67,156,"Male"
1549,66,137,"Female"
1550,79,191,"Female"
1551,92,163,"Male"
1552,81,195,"Female"
1553,79,193,"Male"
1554,55,168,"Female"
1555,49,177,"Female"
1556,57,182,"Male"
1557,73,160,"Female"
1558,74,179,"Female"
1559,90,231,"Female"
1560,74,202,"Female"
1561,37,199,"Male"
1562,66,146,"Male"
1563,65,144,"Female"
1564,58,279,"Male"
1565,76,218,"Female"
1566,81,172,"Female"
1567,58,209,"Female"
1568,64,201,"Male"
1569,77,146,"Male"
1570,56,211,"Female"
1571,58,163,"Female"
1572,61,226,"Female"
1573,58,158,"Male"
1574,72,179,"Female"
1575,72,200,"Female"
1576,54,200,"Male"
1577,74,133,"Female"
1578,79,181,"Female"
1579,65,187,"Female"
1580,75,130,"Female"
1581,89,182,"Female"
1582,44,151,"Female"
1583,49,144,"Female"
1584,71,136,"Male"
1585,43,199,"Male"
1586,73,212,"Female"
1587,40,182,"Male"
1588,53,203,"Female"
1589,71,202,"Female"
1590,65,180,"Male"
1591,67,204,"Female"
1592,78,144,"Male"
1593,47,126,"Male"
1594,73,131,"Female"
1595,62,178,"Male"
1596,75,197,"Male"
1597,44,175,"Male"
1598,74,154,"Female"
1599,85,151,"Female"
1600,75,201,"Female"
1601,67,197,"Female"
1602,41,146,"Female"
1603,81,135,"Female"
1604,99,157,"Male"
1605,58,143,"Female"
1606,87,207,"Female"
1607,64,189,"Female"
1608,38,133,"Male"
1609,65,110,"Male"
1610,57,152,"Female"
1611,95,131,"Male"
1612,95,203,"Female"
1613,44,187,"Male"
1614,80,202,"Male"
1615,71,119,"Male"
1616,103,217,"Female"
1617,85,211,"Male"
1618,47,180,"Female"
1619,55,165,"Male"
1620,71,171,"Female"
1621,40,174,"Female"
1622,56,190,"Male"
1623,69,100,"Female"
1624,47,179,"Female"
1625,70,113,"Male"
1626,71,239,"Female"
1627,65,198,"Male"
1628,90,115,"Female"
1629,57,190,"Female"
1630,75,172,"Female"
1631,82,192,"Female"
1632,90,162,"Male"
1633,87,136,"Female"
1634,76,187,"Male"
1635,68,178,"Female"
1636,70,183,"Male"
1637,82,195,"Male"
1638,86,203,"Female"
1639,71,153,"Male"
1640,81,200,"Male"
1641,74,121,"Male"
1642,57,167,"Female"
1643,65,236,"Female"
1644,75,148,"Male"
1645,40,182,"Female"
1646,68,211,"Male"
1647,49,200,"Male"
1648,75,188,"Male"
1649,57,185,"Female"
1650,87,208,"Female"
1651,67,235,"Male"
1652,54,204,"Female"
1653,68,117,"Male"
1654,41,168,"Male"
1655,58,171,"Female"
1656,83,200,"Male"
1657,61,197,"Male"
1658,59,217,"Male"
1659,75,175,"Male"
1660,91,175,"Female"
1661,65,150,"Male"
1662,75,184,"Female"
1663,64,113,"Male"
1664,62,160,"Male"
1665,80,141,"Female"
1666,58,165,"Female"
1667,99,190,"Male"
1668,58,250,"Male"
1669,71,116,"Female"
1670,60,218,"Female"
1671,75,196,"Female"
1672,74,155,"Female"
1673,51,188,"Female"
1674,38,103,"Female"
1675,67,143,"Male"
1676,88,236,"Male"
1677,70,211,"Female"
1678,66,185,"Female"
1679,73,215,"Male"
1680,85,217,"Male"
1681,77,178,"Female"
1682,50,168,"Female"
1683,73,157,"Female"
1684,63,171,"Female"
1685,64,160,"Female"
1686,77,129,"Female"
1687,63,152,"Female"
1688,93,181,"Male"
1689,81,139,"Male"
1690,51,172,"Male"
1691,102,150,"Female"
1692,52,177,"Male"
1693,44,136,"Female"
1694,82,123,"Male"
1695,53,128,"Female"
1696,61,191,"Male"
1697,52,212,"Male"
1698,69,151,"Female"
1699,49,217,"Female"
1700,69,103,"Male"
1701,58,132,"Male"
1702,111,192,"Female"
1703,52,193,"Female"
1704,60,162,"Female"
1705,62,177,"Female"
1706,90,147,"Male"
1707,80,115,"Female"
1708,80,139,"Female"
1709,43,175,"Male"
1710,55,165,"Female"
1711,79,186,"Male"
1712,59,188,"Female"
1713,62,193,"Female"
1714,59,206,"Male"
1715,82,160,"Female"
1716,69,226,"Male"
1717,55,147,"Female"
1718,77,208,"Female"
1719,73,193,"Female"
1720,95,216,"Female"
1721,63,161,"Female"
1722,50,202,"Male"
1723,73,185,"Male"
1724,50,188,"Female"
1725,87,231,"Female"
1726,73,220,"Male"
1727,67,145,"Male"
1728,73,200,"Female"
1729,76,194,"Male"
1730,88,205,"Female"
1731,74,154,"Female"
1732,61,175,"Male"
1733,42,143,"Female"
1734,72,146,"Female"
1735,57,172,"Male"
1736,83,115,"Female"
1737,88,161,"Female"
1738,67,227,"Male"
1739,64,161,"Female"
1740,72,171,"Male"
1741,71,182,"Male"
1742,54,223,"Male"
1743,74,226,"Male"
1744,76,183,"Female"
1745,81,188,"Male"
1746,65,196,"Male"
1747,65,141,"Male"
1748,65,142,"Male"
1749,79,220,"Female"
1750,59,185,"Female"
1751,69,120,"Female"
1752,60,190,"Male"
1753,105,199,"Male"
1754,60,235,"Female"
1755,79,177,"Male"
1756,62,188,"Male"
1757,81,217,"Male"
1758,64,181,"Male"
1759,68,178,"Female"
1760,75,171,"Female"
1761,92,152,"Female"
1762,76,149,"Male"
1763,57,142,"Male"
1764,57,235,"Male"
1765,58,183,"Female"
1766,66,221,"Female"
1767,43,213,"Female"
1768,66,142,"Male"
1769,66,215,"Female"
1770,59,226,"Male"
1771,57,195,"Female"
1772,57,163,"Female"
1773,61,228,"Female"
1774,83,182,"Female"
1775,77,179,"Female"
1776,67,152,"Male"
1777,88,190,"Female"
1778,89,180,"Male"
1779,59,204,"Female"
1780,81,235,"Female"
1781,48,185,"Female"
1782,45,145,"Male"
1783,67,210,"Male"
1784,72,169,"Male"
1785,73,182,"Male"
1786,74,264,"Female"
1787,60,180,"Female"
1788,65,167,"Male"
1789,64,155,"Male"
1790,54,200,"Female"
1791,33,141,"Female"
1792,80,192,"Female"
1793,68,227,"Female"
1794,68,204,"Male"
1795,52,143,"Female"
1796,68,164,"Male"
1797,70,110,"Male"
1798,79,251,"Male"
1799,62,121,"Female"
1800,62,187,"Male"
1801,80,157,"Female"
1802,60,181,"Male"
1803,70,158,"Male"
1804,76,226,"Female"
1805,81,204,"Male"
1806,46,221,"Male"
1807,58,176,"Male"
1808,103,164,"Male"
1809,68,156,"Male"
1810,51,199,"Male"
1811,88,183,"Male"
1812,47,140,"Female"
1813,76,136,"Female"
1814,54,132,"Male"
1815,60,216,"Male"
1816,59,224,"Male"
1817,79,133,"Male"
1818,65,186,"Male"
1819,61,184,"Female"
1820,66,182,"Female"
1821,59,192,"Male"
1822,80,139,"Male"
1823,73,162,"Male"
1824,79,156,"Female"
1825,85,182,"Male"
1826,80,191,"Female"
1827,81,207,"Female"
1828,54,194,"Male"
1829,69,178,"Male"
1830,33,205,"Female"
1831,54,188,"Male"
1832,98,203,"Female"
1833,69,115,"Male"
1834,82,177,"Female"
1835,59,162,"Male"
1836,63,162,"Female"
1837,83,220,"Male"
1838,67,183,"Female"
1839,83,142,"Female"
1840,73,203,"Female"
1841,67,183,"Female"
1842,59,134,"Male"
1843,67,237,"Female"
1844,61,179,"Female"
1845,69,233,"Female"
1846,78,193,"Female"
1847,56,168,"Male"
1848,78,163,"Male"
1849,60,116,"Female"
1850,78,199,"Female"
1851,78,166,"Male"
1852,66,216,"Female"
1853,66,168,"Male"
1854,58,199,"Female"
1855,57,184,"Female"
1856,83,111,"Male"
1857,67,178,"Female"
1858,68,167,"Male"
1859,77,148,"Female"
1860,102,166,"Female"
1861,81,139,"Female"
1862,81,179,"Female"
1863,85,124,"Female"
1864,64,166,"Female"
1865,68,196,"Male"
1866,62,205,"Female"
1867,59,208,"Female"
1868,58,156,"Female"
1869,90,157,"Male"
1870,79,216,"Female"
1871,91,227,"Male"
1872,63,163,"Female"
1873,82,133,"Male"
1874,93,150,"Female"
1875,55,166,"Female"
1876,83,153,"Female"
1877,68,150,"Male"
1878,75,131,"Male"
1879,65,241,"Female"
1880,97,166,"Female"
1881,77,195,"Female"
1882,62,175,"Male"
1883,95,148,"Female"
1884,61,174,"Female"
1885,72,188,"Female"
1886,71,148,"Female"
1887,73,156,"Male"
1888,71,193,"Male"
1889,70,209,"Female"
1890,79,194,"Male"
1891,58,213,"Male"
1892,70,136,"Male"
1893,79,148,"Male"
1894,84,189,"Female"
1895,72,163,"Female"
1896,66,187,"Male"
1897,65,149,"Female"
1898,60,181,"Female"
1899,74,171,"Male"
1900,73,207,"Female"
1901,54,185,"Female"
1902,78,216,"Female"
1903,72,259,"Female"
1904,74,212,"Female"
1905,76,141,"Male"
1906,67,202,"Male"
1907,67,148,"Male"
1908,55,165,"Male"
1909,41,185,"Female"
1910,39,117,"Male"
1911,74,111,"Female"
1912,36,230,"Male"
1913,87,159,"Female"
1914,81,189,"Female"
1915,97,211,"Male"
1916,73,116,"Male"
1917,50,193,"Male"
1918,50,135,"Female"
1919,84,198,"Female"
1920,55,212,"Female"
1921,60,155,"Female"
1922,74,207,"Male"
1923,83,148,"Female"
1924,85,142,"Female"
1925,74,211,"Male"
1926,67,180,"Male"
1927,50,139,"Female"
1928,51,137,"Male"
1929,73,188,"Male"
1930,55,158,"Female"
1931,48,185,"Female"
1932,69,184,"Male"
1933,39,151,"Male"
1934,71,122,"Male"
1935,80,139,"Male"
1936,67,221,"Female"
1937,61,148,"Female"
1938,49,131,"Female"
1939,81,155,"Female"
1940,61,159,"Female"
1941,65,179,"Male"
1942,47,212,"Male"
1943,76,156,"Female"
1944,62,225,"Male"
1945,77,139,"Female"
1946,66,180,"Male"
1947,87,117,"Male"
1948,91,144,"Female"
1949,40,182,"Male"
1950,68,167,"Female"
1951,62,189,"Female"
1952,56,196,"Male"
1953,99,143,"Female"
1954,70,162,"Female"
1955,65,175,"Female"
1956,84,177,"Male"
1957,74,158,"Female"
1958,53,236,"Female"
1959,52,177,"Male"
1960,66,223,"Male"
1961,70,213,"Male"
1962,61,166,"Male"
1963,59,153,"Female"
1964,53,144,"Male"
1965,71,130,"Male"
1966,84,180,"Female"
1967,71,201,"Female"
1968,45,152,"Female"
1969,67,198,"Male"
1970,89,152,"Male"
1971,62,164,"Male"
1972,67,209,"Female"
1973,94,160,"Male"
1974,61,159,"Female"
1975,81,134,"Male"
1976,56,212,"Female"
1977,73,178,"Male"
1978,83,146,"Female"
1979,48,221,"Female"
1980,60,183,"Female"
1981,68,171,"Male"
1982,57,140,"Female"
1983,65,206,"Female"
1984,75,220,"Female"
1985,36,202,"Male"
1986,83,145,"Male"
1987,89,127,"Female"
1988,70,139,"Female"
1989,79,187,"Female"
1990,74,136,"Female"
1991,69,176,"Female"
1992,36,197,"Female"
1993,55,164,"Female"
1994,76,199,"Female"
1995,72,181,"Female"
1996,66,151,"Male"
1997,54,244,"Male"
1998,45,101,"Female"
1999,73,181,"Female"
2000,59,116,"Male"
2001,57,149,"Female"
2002,69,142,"Male"
2003,72,154,"Male"
2004,81,181,"Female"
2005,67,193,"Male"
2006,45,133,"Female"
2007,67,164,"Female"
2008,68,163,"Female"
2009,79,152,"Male"
2010,81,135,"Female"
2011,67,211,"Male"
2012,63,166,"Male"
2013,94,172,"Male"
2014,47,117,"Male"
2015,80,218,"Female"
2016,44,215,"Female"
2017,74,116,"Male"
2018,84,158,"Female"
2019,75,186,"Female"
2020,76,207,"Male"
2021,61,239,"Male"
2022,59,119,"Female"
2023,61,194,"Female"
2024,49,200,"Male"
2025,68,127,"Female"
2026,79,143,"Female"
2027,88,193,"Male"
2028,84,136,"Female"
2029,53,163,"Female"
2030,46,137,"Male"
2031,71,146,"Female"
2032,46,145,"Male"
2033,72,132,"Female"
2034,70,155,"Male"
2035,67,154,"Female"
2036,79,127,"Female"
2037,59,175,"Female"
2038,59,207,"Male"
2039,65,163,"Male"
2040,97,159,"Male"
2041,70,218,"Female"
2042,72,166,"Female"
2043,74,223,"Female"
2044,42,175,"Male"
2045,68,131,"Female"
2046,63,194,"Male"
2047,66,291,"Male"
2048,117,164,"Female"
2049,64,171,"Female"
2050,102,173,"Female"
2051,76,182,"Female"
2052,82,179,"Male"
2053,81,172,"Female"
2054,48,173,"Male"
2055,72,172,"Male"
2056,71,175,"Male"
2057,86,201,"Male"
2058,73,141,"Female"
2059,77,148,"Female"
2060,69,210,"Male"
2061,71,187,"Female"
2062,60,181,"Male"
2063,89,147,"Female"
2064,83,186,"Female"
2065,77,186,"Female"
2066,69,164,"Female"
2067,73,194,"Female"
2068,74,183,"Male"
2069,71,166,"Male"
2070,81,230,"Male"
2071,96,84,"Female"
2072,57,180,"Male"
2073,79,156,"Female"
2074,72,172,"Female"
2075,91,204,"Female"
2076,65,159,"Male"
2077,75,164,"Female"
2078,80,195,"Female"
2079,83,167,"Female"
2080,88,151,"Female"
2081,60,151,"Male"
2082,57,240,"Female"
2083,55,140,"Male"
2084,81,152,"Female"
2085,63,192,"Male"
2086,103,150,"Male"
2087,74,156,"Male"
2088,82,127,"Female"
2089,91,235,"Male"
2090,66,230,"Male"
2091,30,187,"Male"
2092,58,190,"Male"
2093,57,195,"Female"
2094,59,218,"Female"
2095,70,159,"Female"
2096,64,187,"Female"
2097,53,182,"Female"
2098,65,187,"Male"
2099,62,218,"Female"
2100,58,125,"Male"
2101,62,145,"Male"
2102,82,163,"Male"
2103,73,177,"Female"
2104,63,187,"Male"
2105,67,189,"Female"
2106,60,141,"Male"
2107,48,163,"Male"
2108,73,225,"Male"
2109,66,149,"Female"
2110,84,144,"Female"
2111,58,167,"Female"
2112,64,139,"Male"
2113,81,206,"Male"
2114,67,165,"Female"
2115,92,152,"Female"
2116,49,147,"Male"
2117,55,153,"Female"
2118,77,165,"Male"
2119,72,138,"Female"
2120,80,207,"Male"
2121,48,154,"Male"
2122,61,215,"Female"
2123,70,163,"Female"
2124,65,155,"Female"
2125,103,198,"Male"
2126,75,138,"Male"
2127,86,184,"Female"
2128,62,156,"Female"
2129,71,177,"Female"
2130,78,187,"Male"
2131,89,178,"Female"
2132,42,113,"Male"
2133,87,159,"Female"
2134,80,186,"Female"
2135,72,174,"Female"
2136,64,188,"Male"
2137,68,130,"Female"
2138,57,228,"Male"
2139,62,215,"Female"
2140,69,154,"Female"
2141,85,184,"Female"
2142,76,151,"Female"
2143,76,191,"Female"
2144,51,194,"Female"
2145,60,161,"Female"
2146,68,200,"Female"
2147,55,138,"Female"
2148,68,236,"Female"
2149,66,174,"Female"
2150,67,231,"Female"
2151,60,246,"Female"
2152,56,111,"Male"
2153,56,208,"Male"
2154,47,156,"Female"
2155,63,150,"Male"
2156,64,160,"Male"
2157,42,155,"Male"
2158,88,198,"Male"
2159,65,225,"Female"
2160,68,86,"Female"
2161,66,174,"Male"
2162,89,165,"Female"
2163,56,178,"Male"
